Data;PETR4_Var_Resposta;PETR4_Volume_Dia_Anterior;PETR4_Var_Abertura_Hoje_Dia_Anterior;PETR4_Var_Dia_Anterior;IBOV_Var_Dia_Anterior;DOW_JONES_Var_Dia_Anterior;Tx_Selic_Var_Dia_Anterior;Var_Cambio_Nominal_Dia_Anterior;Var_Petroleo_Brent_Dia_Anterior;Google_Buscas_Dia_Anterior;Google_Noticias_Dia_Anterior;Google_Gasolina_Dia_Anterior;PETR4_Var_Positiva_2_dias;PETR4_Var_Negativa_2_dias;PETR4_Var_Maior_1;IBOV_Var_Positiva_2_dias;IBOV_Var_Negativa_2_dias;DOW_JONES_Var_Positiva_2_dias;DOW_JONES_Var_Negativa_2_dias;Petroleo_Brent_Var_Positiva_2_dias;Petroleo_Brent_Var_Negativa_2_dias;Mes_Eleitoral;Mes_Pre_Eleitoral;Mes_Pos_Eleitoral
02/01/2009;1;16.26;0.33;0.24;490.15;231;0;0.016;5.44;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0
05/01/2009;1;17.37;-0.12;1.3;2693.91;-40;0;-0.009;1.32;23;0;0;1;0;1;1;0;1;0;1;0;0;0;0
06/01/2009;1;26.54;0.31;0.43;1274.44;32;0;-0.086;2.71;38;13;0;1;0;0;1;0;0;0;1;0;0;0;0
07/01/2009;0;24.31;-0.49;0.26;793.62;-206;0;-0.067;0.91;23;0;0;1;0;0;1;0;0;0;1;0;0;0;0
08/01/2009;1;20.65;-0.07;-0.76;-1492.03;-48;0;0.103;-4.67;96;24;0;0;0;0;0;0;0;0;0;0;0;0;0
09/01/2009;0;24.04;-0.15;0.8;1170.3;-173;0;0.023;-1.19;16;15;0;0;0;0;0;0;0;1;0;1;0;0;0
12/01/2009;0;18.59;-0.51;-0.07;-407.61;-79;0;-0.044;-0.25;117;11;0;0;0;0;0;0;0;1;0;1;0;0;0
13/01/2009;1;25.61;-0.31;-1.26;-2179.47;-36;0;0.064;-1.51;15;0;100;0;1;1;0;1;0;1;0;1;0;0;0
14/01/2009;0;25.61;-0.18;0.15;140.76;-249;0;0.004;1.92;0;14;0;0;0;0;0;0;0;1;0;0;0;0;0
15/01/2009;1;28.39;0.04;-0.5;-1562.46;3;0;0.046;0.25;39;0;0;0;0;0;0;0;0;1;1;0;0;0;0
16/01/2009;1;33.67;0.47;0.61;1169.31;81;0;-0.011;-0.39;31;12;86;0;0;0;0;0;0;0;0;0;0;0;0
19/01/2009;0;24.66;0.05;0.14;190.46;0;0;-0.013;1.88;32;0;0;1;0;0;1;0;0;0;0;0;0;0;0
20/01/2009;0;12.8;-0.14;-0.34;-513.22;-298;0;0.012;-2.07;73;0;0;0;0;0;0;0;1;0;0;0;0;0;0
21/01/2009;1;17.57;0.12;-0.59;-1556.25;233;0;0.022;-0.88;30;12;0;0;1;0;0;1;0;0;0;1;0;0;0
22/01/2009;0;21.28;0.15;0.92;1270.83;-86;-1;-0.039;1.4;15;13;88;0;0;0;0;0;0;0;0;0;0;0;0
23/01/2009;0;24.93;-0.49;-0.48;-648.57;-119;0;-0.016;0.37;52;0;0;0;0;0;0;0;0;0;1;0;0;0;0
26/01/2009;1;24.1;-0.07;-0.03;238.02;64;0;0.01;2.98;24;12;92;0;1;0;0;0;0;1;1;0;0;0;0
